tconst,averageRating,numVotes
tt2972428, 8.7 ," 31,010 "
tt13586908, 8.7 ," 30,975 "
tt2070135, 8.7 ," 30,944 "
tt3398540, 8.7 ," 30,704 "
tt2178812, 8.7 ," 30,546 "
tt2178802, 8.7 ," 30,128 "
tt12714854, 8.7 ," 29,339 "
tt1054725, 8.7 ," 28,438 "
tt10161334, 8.7 ," 27,405 "
tt0459159, 8.7 ," 25,018 "
tt10161316, 8.7 ," 24,910 "
tt0096639, 8.7 ," 24,494 "
tt12981672, 8.7 ," 24,401 "
tt0086661, 8.7 ," 23,348 "
tt1615557, 8.7 ," 22,201 "
tt10161320, 8.7 ," 21,814 "
tt20869502, 8.7 ," 21,390 "
tt1797530, 8.7 ," 19,816 "
tt2739708, 8.7 ," 18,585 "
tt0253614, 8.7 ," 18,333 "
tt10332508, 8.7 ," 17,898 "
tt3858672, 8.7 ," 17,396 "
tt0252597, 8.7 ," 16,909 "
tt1699759, 8.7 ," 16,635 "
tt0277723, 8.7 ," 16,507 "
tt1764429, 8.7 ," 16,144 "
tt0076276, 8.7 ," 16,120 "
tt2742544, 8.7 ," 16,065 "
tt3333824, 8.7 ," 15,932 "
tt0201368, 8.7 ," 15,907 "
tt0080306, 8.7 ," 15,767 "
tt20192968, 8.7 ," 15,074 "
tt3333838, 8.7 ," 14,819 "
tt3714498, 8.7 ," 14,652 "
tt18412610, 8.7 ," 14,555 "
tt0106028, 8.7 ," 13,515 "
tt0988818, 8.7 ," 13,477 "
tt2521158, 8.7 ," 13,447 "
tt0090509, 8.7 ," 12,874 "
tt15496390, 8.7 ," 12,321 "
tt14889190, 8.7 ," 12,311 "
tt14960032, 8.7 ," 11,898 "
tt1815240, 8.7 ," 11,850 "
tt0765833, 8.7 ," 11,649 "
tt0229889, 8.7 ," 11,606 "
tt10062312, 8.7 ," 11,085 "
tt10801534, 8.7 ," 10,490 "
tt0251654, 8.7 ," 10,437 "
tt0785280, 8.7 ," 10,147 "
tt10011152, 8.7 ," 10,139 "
tt0357718, 8.7 ," 10,081 "
tt0090015, 8.7 ," 10,007 "
tt0114369, 8.6 ," 1,721,841 "
tt0102926, 8.6 ," 1,484,505 "
tt0120815, 8.6 ," 1,441,372 "
tt0076759, 8.6 ," 1,407,238 "
tt0120689, 8.6 ," 1,352,444 "
tt0103064, 8.6 ," 1,135,858 "
tt0245429, 8.6 ," 803,388 "
tt0317248, 8.6 ," 778,088 "
tt0118799, 8.6 ," 718,645 "
tt0038650, 8.6 ," 476,792 "
tt3322312, 8.6 ," 458,483 "
tt0047478, 8.6 ," 356,238 "
tt15398776, 8.6 ," 332,417 "
tt1124373, 8.6 ," 310,908 "
tt1266020, 8.6 ," 275,034 "
tt1586680, 8.6 ," 261,447 "
tt0106179, 8.6 ," 237,296 "
tt0436992, 8.6 ," 233,421 "
tt0979432, 8.6 ," 196,947 "
tt1486217, 8.6 ," 160,715 "
tt0096657, 8.6 ," 127,206 "
tt1870479, 8.6 ," 120,712 "
tt0348914, 8.6 ," 112,909 "
tt1489428, 8.6 ," 109,979 "
tt1305826, 8.6 ," 103,917 "
tt1733785, 8.6 ," 73,335 "
tt10638036, 8.6 ," 65,851 "
tt0863046, 8.6 ," 64,025 "
tt0056058, 8.6 ," 62,829 "
tt0280249, 8.6 ," 62,811 "
tt0088509, 8.6 ," 62,123 "
tt20850406, 8.6 ," 61,958 "
tt0423731, 8.6 ," 52,405 "
tt14544192, 8.6 ," 52,069 "
tt0275137, 8.6 ," 49,377 "
tt0094525, 8.6 ," 48,997 "
tt0088484, 8.6 ," 48,428 "
tt0290988, 8.6 ," 47,670 "
tt0237123, 8.6 ," 46,777 "
tt0092324, 8.6 ," 45,802 "
tt1641384, 8.6 ," 43,762 "
tt2100976, 8.6 ," 43,536 "
tt1668746, 8.6 ," 39,466 "
tt11854694, 8.6 ," 35,694 "
tt1829963, 8.6 ," 35,528 "
tt0053488, 8.6 ," 34,912 "
tt13111040, 8.6 ," 34,740 "
tt3895150, 8.6 ," 34,330 "
tt0417349, 8.6 ," 33,893 "
tt1971833, 8.6 ," 33,039 "
tt0380136, 8.6 ," 32,883 "
tt2178782, 8.6 ," 32,344 "
tt2701582, 8.6 ," 30,904 "
tt10161330, 8.6 ," 30,509 "
tt3060856, 8.6 ," 30,270 "
tt2085240, 8.6 ," 30,251 "
tt2074658, 8.6 ," 30,181 "
tt2069319, 8.6 ," 30,040 "
tt2178814, 8.6 ," 29,645 "
tt12451520, 8.6 ," 29,455 "
tt1054724, 8.6 ," 29,357 "
tt1983079, 8.6 ," 29,085 "
tt0417373, 8.6 ," 27,166 "
tt0094517, 8.6 ," 25,311 "
tt1232244, 8.6 ," 24,929 "
tt13989258, 8.6 ," 24,488 "
tt0367495, 8.6 ," 24,338 "
tt1232254, 8.6 ," 23,565 "
tt2433738, 8.6 ," 23,473 "
tt10161342, 8.6 ," 22,920 "
tt1615186, 8.6 ," 22,237 "
tt1683092, 8.6 ," 21,640 "
tt1683091, 8.6 ," 21,598 "
tt0093603, 8.6 ," 21,350 "
tt0129690, 8.6 ," 21,349 "
tt2311418, 8.6 ," 21,095 "
tt2244495, 8.6 ," 20,775 "
tt0048434, 8.6 ," 20,744 "
tt11172054, 8.6 ," 20,720 "
tt0421291, 8.6 ," 20,092 "
tt0358456, 8.6 ," 19,465 "
tt0252489, 8.6 ," 18,427 "
tt1513168, 8.6 ," 18,146 "
tt1628064, 8.6 ," 17,574 "
tt0116860, 8.6 ," 17,246 "
tt0310455, 8.6 ," 17,091 "
tt3671754, 8.6 ," 16,890 "
tt12187036, 8.6 ," 16,655 "
tt1628068, 8.6 ," 16,469 "
tt0088178, 8.6 ," 16,308 "
tt2858740, 8.6 ," 16,122 "
tt0271383, 8.6 ," 15,858 "
tt0203082, 8.6 ," 15,603 "
tt3895288, 8.6 ," 15,227 "
tt0403778, 8.6 ," 14,766 "
tt3884286, 8.6 ," 14,655 "
tt3333830, 8.6 ," 14,630 "
